"protocol","port","content_length","content_type","content_charset","method","path","encoding","duration","class"
0,6666,5988,3,0,0,10,2,"10.0","anomaly"
2,5555,7777,0,0,0,1,3,"10.0","anomaly"
3,30640,4623,6,1,1,0,3,"9.0","normal"
1,32385,6937,2,0,0,8,0,"18.0","normal"
3,39852,6982,5,0,0,3,4,"17.0","normal"
0,27117,2940,2,1,0,0,"-1","20.0","normal"
0,23778,67,5,0,0,2,0,"4.0","normal"
2,15397,3796,0,2,0,2,2,"28.0","normal"
1,21776,7119,3,"-1",0,6,0,"5.0","normal"
1,49440,6691,1,"-1",1,2,0,"35.0","normal"
3,49901,4086,6,1,0,2,0,"19.0","normal"
0,40217,9336,3,0,0,0,0,"0.03987273247186035","anomaly"
1,14879,8123,5,2,0,8,"-1","0.06307116373085601","anomaly"
2,65150,70196,0,0,0,4,3,"12.0","anomaly"
3,40477,1137,6,2,1,2,2,"15.0","normal"
3,64566,1391,1,0,0,0,0,"6.0","normal"
2,22850,8102,5,0,0,4,0,"0.0","normal"
1,43143,2306,5,"-1",1,2,0,"3.0","normal"
2,50422,69571,4,1,0,4,0,"19.0","anomaly"
2,4444,7595,5,"-1",1,9,1,"2.0","anomaly"
0,62835,3867,3,0,0,2,0,"1.0","normal"
2,15959,7355,2,0,0,0,0,"2.0","normal"
1,20582,7982,4,0,1,4,1,"6.0","normal"
1,25496,9744,6,1,0,9,2,"53.0","normal"
2,12933,990,2,0,0,3,2,"9.0","normal"
1,21507,2560,5,0,0,10,3,"16.0","normal"
1,40752,2093,2,0,3,7,2,"26.0","normal"
1,36680,178,4,0,1,6,3,"19.0","normal"
0,37590,2795,1,0,0,0,4,"4.0","normal"
0,24733,30919,6,0,0,0,"-1","9.0","anomaly"
1,26838,4200,5,0,2,6,0,"1.0","normal"
2,3008,4497,2,0,0,0,4,"34.0","normal"
2,65084,5579,4,0,1,6,2,"0.030656121432928663","anomaly"
2,47241,6169,6,2,3,7,4,"67.0","normal"
2,30649,1480,1,0,0,2,"-1","63.0","normal"
3,40216,9536,2,0,0,3,3,"13.0","normal"
1,62651,1993,1,1,2,0,2,"2.0","normal"
0,58182,6361,4,0,0,2,"-1","2.0","normal"
1,5555,2735,2,0,3,2,0,"7.0","anomaly"
0,8798,53184,6,0,1,8,3,"21.0","anomaly"
0,16191,9493,6,0,0,10,3,"0.03570894977659659","anomaly"
0,41615,3252,1,0,0,0,1,"32.0","normal"
1,49847,5571,2,0,0,0,0,"15.0","normal"
1,33251,3109,4,2,1,8,4,"15.0","normal"
3,41732,8497,6,0,1,0,"-1","84.0","normal"
0,8080,1014,3,"-1",1,0,4,"12.0","anomaly"
0,41318,556,0,1,0,6,"-1","10.0","normal"
0,23458,7394,3,"-1",0,0,"-1","5.0","normal"
3,28672,3423,3,2,1,0,2,"5.0","normal"
3,13625,5185,0,"-1",0,2,4,"37.0","normal"
3,30959,2866,0,"-1",3,7,"-1","38.0","normal"
3,63554,5244,2,0,2,0,"-1","21.0","normal"
0,23236,3590,0,0,0,3,2,"145.0","normal"
3,33516,8405,6,0,0,4,0,"0.04944033213493272","anomaly"
2,38964,289,1,2,2,0,2,"21.0","normal"
0,8355,3923,4,"-1",0,5,2,"5.0","normal"
3,5104,4434,5,2,0,2,2,"23.0","normal"
1,7527,9759,0,0,1,0,2,"6.0","normal"
1,4444,4841,3,0,0,2,3,"11.0","anomaly"
1,14641,7243,6,0,0,0,0,"15.0","normal"
1,62803,1806,0,0,0,0,1,"33.0","normal"
3,46715,6644,5,"-1",2,6,0,"18.0","normal"
1,27035,5791,6,2,0,3,0,"0.0666589649163026","anomaly"
1,41863,5485,4,0,0,7,0,"19.0","normal"
3,16104,5911,6,2,0,4,"-1","2.0","normal"
3,3405,72197,2,0,1,9,1,"17.0","anomaly"
0,48264,4780,4,0,1,7,0,"26.0","normal"
2,40889,4815,4,0,0,2,4,"6.0","normal"
1,61476,2661,5,0,1,9,2,"22.0","normal"
0,27568,7607,0,"-1",0,6,2,"1.0","normal"
2,52655,4876,1,2,2,7,2,"24.0","normal"
2,12020,4500,0,2,0,0,4,"22.0","normal"
3,6666,6558,4,2,1,4,"-1","10.0","anomaly"
2,45700,2257,2,1,0,2,1,"4.0","normal"
1,28167,2062,0,0,1,0,3,"26.0","normal"
0,6666,1394,0,0,0,6,0,"15.0","anomaly"
3,44135,5540,4,"-1",1,0,0,"3.0","normal"
3,8080,1531,5,1,0,0,2,"4.0","anomaly"
1,52700,6957,6,0,0,3,0,"1.0","normal"
0,62733,2779,1,2,1,2,0,"11.0","normal"
1,16081,6363,2,0,0,7,"-1","0.03297161859634567","anomaly"
3,51341,4732,1,0,0,2,0,"24.0","normal"
3,45960,9103,0,2,2,0,0,"33.0","normal"
0,53708,1724,6,0,1,0,0,"3.0","normal"
1,27779,33094,4,2,0,4,0,"37.0","anomaly"
3,24568,3906,6,0,0,0,2,"0.04172925377346553","anomaly"
0,9903,9719,2,2,0,0,0,"0.049025010367063554","anomaly"
0,10033,53319,5,0,0,2,0,"14.0","anomaly"
2,40558,8397,2,"-1",0,0,0,"46.0","normal"
2,11508,5842,5,0,1,0,4,"4.0","normal"
3,8771,67944,0,0,0,6,"-1","7.0","anomaly"
1,51419,15092,0,"-1",1,2,0,"3.0","anomaly"
0,4444,3391,3,0,0,0,3,"15.0","anomaly"
0,3224,81421,0,0,0,4,"-1","4.0","anomaly"
1,52271,3083,6,1,1,2,2,"0.07056598112446698","anomaly"
1,57657,1798,1,1,3,2,"-1","10.0","normal"
0,26114,8857,3,"-1",0,2,2,"0.0","normal"
2,60526,84659,3,1,0,5,4,"5.0","anomaly"
1,53409,5801,1,0,0,0,3,"1.0","normal"
1,43361,3197,5,1,0,2,"-1","60.0","normal"
0,40588,1504,1,0,0,10,0,"1.0","normal"
2,49556,54695,3,0,1,0,4,"11.0","anomaly"
3,4444,4210,6,0,1,0,4,"0.0","anomaly"
3,6666,4542,6,0,0,1,0,"20.0","anomaly"
1,23222,4282,2,"-1",1,0,2,"4.0","normal"
2,49289,1863,1,0,0,2,"-1","60.0","normal"
2,59654,5840,4,1,1,0,0,"19.0","normal"
3,42425,7264,3,"-1",0,7,2,"14.0","normal"
0,34793,28134,6,0,0,0,0,"1.0","anomaly"
3,21646,2437,5,0,2,10,1,"6.0","normal"
3,22335,8557,1,1,0,9,0,"23.0","normal"
0,41291,5367,5,0,0,3,3,"3.0","normal"
3,1387,7206,2,0,5,10,0,"42.0","normal"
1,12567,7845,5,0,0,0,"-1","2.0","normal"
2,43153,4728,3,0,0,0,3,"8.0","normal"
2,3468,33854,1,0,0,3,0,"45.0","anomaly"
2,31500,8960,3,2,1,8,0,"57.0","normal"
3,32765,3758,6,0,0,5,0,"1.0","normal"
3,18179,5555,0,0,2,7,0,"4.0","normal"
3,17450,4103,1,"-1",0,10,0,"4.0","normal"
3,46933,7892,4,0,1,5,0,"5.0","normal"
0,17449,5555,2,"-1",1,0,"-1","16.0","normal"
3,55487,1449,1,0,2,4,3,"16.0","normal"
2,37068,2721,4,0,0,9,0,"31.0","normal"
2,39275,580,4,0,1,0,0,"21.0","normal"
3,9801,544,4,2,1,2,4,"1.0","normal"
1,31792,2705,2,"-1",0,2,"-1","0.07602111269228912","anomaly"
1,18945,3992,1,0,1,4,3,"11.0","normal"
1,35605,8386,4,0,0,0,4,"21.0","normal"
1,53756,1048,0,0,1,10,4,"13.0","normal"
0,6666,6643,2,1,1,4,1,"1.0","anomaly"
3,9181,4078,2,0,0,2,3,"30.0","normal"
3,49726,7452,4,"-1",1,2,0,"23.0","normal"
2,24307,2368,5,0,1,0,"-1","26.0","normal"
0,34291,9743,0,0,0,4,3,"31.0","normal"
2,32314,80203,2,0,0,3,4,"28.0","anomaly"
3,63547,58829,5,0,1,8,1,"9.0","anomaly"
1,27598,11158,4,"-1",0,2,4,"19.0","anomaly"
0,62087,3854,3,0,0,0,0,"13.0","normal"
1,36188,4654,5,0,0,1,0,"5.0","normal"
0,19316,1306,2,0,1,1,0,"7.0","normal"
2,21220,18058,2,0,0,2,0,"1.0","anomaly"
0,37509,63934,2,0,0,1,2,"42.0","anomaly"
1,4444,7280,3,"-1",0,0,0,"5.0","anomaly"
0,10694,2575,0,0,1,0,0,"20.0","normal"
1,53815,991,4,0,1,0,0,"2.0","normal"
3,42296,2591,5,0,0,0,0,"9.0","normal"
2,37340,8683,1,0,0,5,1,"13.0","normal"
3,28572,37866,3,0,1,0,3,"12.0","anomaly"
2,13304,6952,5,1,0,4,0,"0.03462945620283964","anomaly"
2,58941,81044,1,0,0,4,0,"4.0","anomaly"
0,25871,869,5,0,0,4,0,"5.0","normal"
2,41840,8274,4,0,0,2,0,"14.0","normal"
2,27022,5424,6,0,1,2,4,"0.09100103210603556","anomaly"
3,27451,654,5,2,0,2,0,"4.0","normal"
0,56551,7396,0,0,0,1,2,"14.0","normal"
2,63126,1312,2,0,0,6,2,"9.0","normal"
1,10948,3367,6,0,0,6,4,"7.0","normal"
3,20733,79005,6,0,0,0,0,"0.0","anomaly"
0,23034,1776,2,0,0,2,0,"9.0","normal"
3,7146,3924,0,0,0,0,2,"38.0","normal"
2,57833,1925,4,0,3,0,"-1","36.0","normal"
2,45221,68259,2,0,0,9,"-1","24.0","anomaly"
3,32194,271,4,2,0,0,0,"3.0","normal"
3,56056,2147,3,0,1,6,1,"0.024178232778310594","anomaly"
3,39616,6453,0,2,0,2,0,"0.0","normal"
3,5555,8353,0,0,0,0,0,"13.0","anomaly"
1,30463,1999,0,0,0,6,4,"6.0","normal"
0,4807,46077,3,0,0,10,2,"9.0","anomaly"
2,6391,1629,2,0,1,6,3,"15.0","normal"
3,58101,7023,3,0,1,3,0,"64.0","normal"
3,44974,9256,6,0,0,2,0,"21.0","normal"
0,7777,233,5,0,1,0,2,"19.0","anomaly"
3,4336,4379,2,0,1,2,1,"62.0","normal"
0,44519,2618,6,0,0,0,4,"6.0","normal"
2,13888,9661,2,1,1,4,0,"39.0","normal"
3,51035,1505,1,0,0,2,3,"7.0","normal"
1,2771,2925,5,0,0,0,0,"10.0","normal"
2,29735,5690,6,0,1,0,"-1","21.0","normal"
0,6126,3510,6,2,0,2,1,"22.0","normal"
0,8108,4456,1,0,4,3,3,"1.0","normal"
0,48007,56772,1,0,0,1,1,"3.0","anomaly"
1,24674,1289,3,0,2,0,3,"44.0","normal"
2,7777,1386,2,0,2,2,3,"13.0","anomaly"
1,34294,3173,3,0,1,4,3,"54.0","normal"
0,33457,8388,5,0,0,0,4,"40.0","normal"
1,30488,5636,3,1,0,8,3,"0.0","normal"
1,62577,9369,2,0,2,2,1,"11.0","normal"
3,35612,2964,1,0,0,0,0,"45.0","normal"
0,8080,2224,1,1,0,4,0,"2.0","anomaly"
2,18911,2890,2,0,0,4,0,"11.0","normal"
0,58788,6340,1,0,0,2,0,"13.0","normal"
0,62284,2926,0,0,0,0,0,"0.01606172931993524","anomaly"
2,22010,615,0,2,1,2,"-1","0.008327166834179712","anomaly"
2,30548,8411,4,0,0,2,3,"12.0","normal"
0,60637,2581,5,2,0,0,0,"5.0","normal"
2,61044,8448,4,0,0,9,2,"52.0","normal"
2,49162,7850,6,1,0,0,1,"29.0","normal"
3,38112,2059,5,0,1,4,4,"68.0","normal"
2,4444,4326,0,0,0,10,2,"24.0","anomaly"
2,6666,3306,2,0,1,4,0,"9.0","anomaly"
1,43078,5191,6,"-1",1,2,0,"0.08798721705950928","anomaly"
1,31792,4524,1,"-1",0,2,0,"31.0","normal"
0,51653,9497,6,0,0,1,1,"3.0","normal"
0,44404,3899,1,0,1,8,0,"4.0","normal"
1,54436,4507,0,"-1",5,0,0,"66.0","normal"
0,15047,61031,4,0,1,0,3,"25.0","anomaly"
0,22556,1367,4,0,0,10,2,"6.0","normal"
0,11168,3162,2,0,1,0,0,"3.0","normal"
0,16538,887,4,0,0,0,0,"4.0","normal"
3,36320,6845,5,0,5,0,3,"36.0","normal"
0,18551,9082,6,1,1,7,0,"2.0","normal"
0,2744,9898,4,0,0,5,4,"5.0","normal"
3,42501,7262,1,0,0,0,0,"0.05392024877395932","anomaly"
2,57706,8002,0,0,0,2,0,"5.0","normal"
2,1639,9208,5,0,0,2,4,"33.0","normal"
0,13360,1191,2,1,0,0,2,"13.0","normal"
2,63359,7090,2,0,0,9,0,"10.0","normal"
0,29842,283,1,0,1,6,0,"17.0","normal"
3,59002,8859,3,0,0,2,2,"5.0","normal"
3,19282,2600,1,0,0,10,2,"20.0","normal"
2,9319,3183,1,0,0,0,"-1","82.0","normal"
3,4444,7869,4,0,0,0,0,"12.0","anomaly"
2,59493,2384,5,0,4,7,0,"32.0","normal"
2,22435,931,2,0,2,0,2,"23.0","normal"
0,62218,9436,4,0,4,3,0,"14.0","normal"
2,36583,1186,3,0,1,5,3,"23.0","normal"
0,10595,9271,3,0,1,7,3,"7.0","normal"
0,20812,44232,4,0,0,1,4,"13.0","anomaly"
3,64063,9783,2,"-1",0,0,0,"5.0","normal"
1,6666,6906,5,0,1,2,0,"38.0","anomaly"
3,7777,5024,4,1,0,5,2,"54.0","anomaly"
0,49648,4138,0,0,0,1,0,"12.0","normal"
3,49709,4331,3,"-1",1,0,2,"15.0","normal"
0,58020,1635,2,0,0,1,1,"9.0","normal"
1,10412,44311,3,0,0,6,4,"1.0","anomaly"
0,25208,5750,2,0,1,7,3,"1.0","normal"
3,64376,1007,1,2,0,0,1,"16.0","normal"
2,36252,4883,6,0,0,3,0,"12.0","normal"
3,18324,8752,3,2,1,7,0,"4.0","normal"
0,61908,5934,6,1,0,2,0,"3.0","normal"
3,40841,7853,6,0,1,0,"-1","11.0","normal"
1,24234,8558,3,0,0,7,0,"10.0","normal"
1,8116,9739,5,1,0,0,3,"3.0","normal"
1,24675,534,5,0,1,4,4,"1.0","normal"
2,57292,5788,4,0,0,8,4,"10.0","normal"
1,26960,8876,6,0,1,9,2,"1.0","normal"
0,12847,6103,4,"-1",1,7,0,"15.0","normal"
0,18790,7169,4,1,0,2,4,"0.07280108450276379","anomaly"
3,24277,3020,2,"-1",0,0,4,"11.0","normal"
0,3127,7927,5,"-1",0,10,"-1","19.0","normal"
3,44105,278,2,"-1",0,0,0,"9.0","normal"
3,21937,8445,6,0,1,2,3,"10.0","normal"
3,27402,3871,2,0,0,8,2,"18.0","normal"
1,13548,2565,1,0,1,6,"-1","3.0","normal"
3,4444,7450,0,0,0,2,0,"8.0","anomaly"
0,5555,3431,4,1,0,0,0,"20.0","anomaly"
1,7817,9225,1,0,0,4,2,"0.0","normal"
0,50521,9433,5,0,0,0,"-1","1.0","normal"
1,15809,8207,2,0,0,3,2,"1.0","normal"
1,4655,1545,1,0,1,7,0,"2.0","normal"
1,43053,28683,1,"-1",1,0,0,"19.0","anomaly"
2,22527,2226,5,0,0,2,"-1","12.0","normal"
1,7777,9761,6,"-1",0,1,2,"28.0","anomaly"
1,26008,4485,1,0,1,2,0,"25.0","normal"
3,2800,4678,3,0,0,0,0,"11.0","normal"
3,15376,1404,5,"-1",0,4,0,"34.0","normal"
0,36020,9797,4,2,0,1,4,"6.0","normal"
2,7777,4613,5,0,1,1,3,"36.0","anomaly"
2,8182,62996,4,0,0,0,3,"60.0","anomaly"
0,7777,9735,4,0,0,9,3,"4.0","anomaly"
1,16381,72114,3,0,0,0,0,"56.0","anomaly"
2,35794,3569,0,0,1,5,2,"14.0","normal"
1,56818,5311,1,0,0,8,3,"76.0","normal"
0,19718,9821,1,"-1",0,1,0,"25.0","normal"
3,53331,7291,2,0,1,2,3,"4.0","normal"
1,31429,8219,6,"-1",1,1,0,"4.0","normal"
0,9704,7214,5,0,1,0,1,"12.0","normal"
2,42357,3981,1,0,0,0,0,"0.0022300386020653986","anomaly"
3,3812,5796,2,0,1,0,2,"0.0678438625596051","anomaly"
1,20717,73479,4,0,0,2,0,"15.0","anomaly"
2,52478,2451,0,0,0,2,1,"45.0","normal"
1,1442,1561,5,0,0,2,3,"0.05247397262401822","anomaly"
3,63156,5021,5,0,1,0,0,"1.0","normal"
1,9601,3156,5,1,0,0,1,"12.0","normal"
0,50292,4236,4,2,0,1,3,"116.0","normal"
3,22990,9014,4,2,0,8,0,"3.0","normal"
3,33040,1903,0,"-1",2,0,"-1","9.0","normal"
1,65140,68520,2,0,1,0,0,"9.0","anomaly"
2,33190,6231,0,0,0,3,3,"2.0","normal"
1,35637,6566,6,0,0,1,0,"0.08270004970323545","anomaly"
2,25971,1790,2,0,0,3,0,"0.07725577586731766","anomaly"
0,5306,446,6,0,0,7,1,"20.0","normal"
2,55383,9401,4,0,0,9,2,"7.0","normal"
0,65259,95862,5,0,1,0,0,"42.0","anomaly"
1,50653,63094,4,1,1,10,2,"20.0","anomaly"
1,6666,3620,3,0,0,2,0,"7.0","anomaly"
1,37833,5694,0,2,1,4,0,"3.0","normal"
1,22133,599,1,0,0,0,3,"1.0","normal"
1,38898,8210,3,0,0,6,0,"15.0","normal"
0,23792,9727,4,0,0,8,0,"5.0","normal"
3,10207,58901,5,0,0,0,4,"9.0","anomaly"
2,57939,8417,5,"-1",1,6,0,"17.0","normal"
0,14206,8584,1,0,0,2,2,"27.0","normal"
3,5555,2268,5,0,0,1,2,"6.0","anomaly"
3,55528,6091,2,0,0,0,"-1","8.0","normal"
1,11490,7787,3,0,1,0,0,"29.0","normal"
3,27965,7160,1,0,0,6,0,"7.0","normal"
0,48214,9133,5,1,1,0,2,"3.0","normal"
0,3168,7697,1,1,0,0,4,"10.0","normal"
1,37446,4369,1,2,0,2,4,"9.0","normal"
3,57809,1238,6,0,1,0,0,"33.0","normal"
0,28276,32243,2,0,1,1,1,"39.0","anomaly"
2,10412,9627,6,0,0,0,"-1","25.0","normal"
0,15633,5755,2,"-1",0,3,0,"0.0","normal"
2,36555,1532,6,1,1,0,0,"0.0","normal"
1,14055,5845,5,0,0,2,1,"2.0","normal"
3,15291,2161,1,0,0,7,3,"17.0","normal"
3,43064,7519,5,0,0,9,0,"11.0","normal"
2,43690,9230,6,0,1,2,4,"0.02365334513839462","anomaly"
1,63186,83334,2,0,1,2,2,"26.0","anomaly"
3,50001,10969,6,0,0,0,4,"28.0","anomaly"
2,62146,4668,5,0,0,0,3,"16.0","normal"
0,12459,5231,4,0,0,2,0,"10.0","normal"
1,24028,9782,2,0,1,9,3,"57.0","normal"
3,33175,7856,2,0,0,2,1,"0.08879814494285128","anomaly"
1,20043,5481,6,1,0,10,4,"12.0","normal"
0,21177,5818,3,0,0,4,"-1","22.0","normal"
0,43631,857,0,0,0,9,0,"18.0","normal"
1,37345,1221,3,0,0,2,1,"0.044533847316956865","anomaly"
3,1221,38527,0,0,0,2,1,"7.0","anomaly"
0,48482,8044,5,0,0,2,0,"0.04801415782727543","anomaly"
3,24872,3339,1,0,0,6,1,"29.0","normal"
2,39895,5831,4,0,0,4,3,"58.0","normal"
1,30038,9949,2,0,1,4,2,"7.0","normal"
0,65265,584,0,0,1,2,2,"11.0","normal"
0,7777,2722,0,0,0,4,1,"7.0","anomaly"
3,42383,9784,6,0,0,0,1,"31.0","normal"
2,48510,7587,4,"-1",0,4,0,"21.0","normal"
2,31284,7192,4,0,1,2,0,"2.0","normal"
1,19560,9828,3,1,1,0,0,"11.0","normal"
3,7777,8701,4,0,0,3,1,"14.0","anomaly"
0,9161,5127,0,2,0,0,0,"12.0","normal"
1,6188,3655,6,0,0,6,0,"25.0","normal"
2,17355,8676,6,0,0,5,0,"10.0","normal"
1,40927,1820,4,0,0,6,0,"17.0","normal"
3,39702,2466,5,0,0,6,2,"27.0","normal"
2,11140,8378,1,0,0,0,2,"7.0","normal"
3,50580,87817,2,0,0,10,2,"22.0","anomaly"
1,12949,773,6,"-1",0,9,0,"21.0","normal"
0,38759,5669,5,"-1",1,5,0,"18.0","normal"
2,61463,7339,4,2,1,0,2,"0.029174534825558075","anomaly"
3,30001,8933,6,"-1",5,4,1,"17.0","normal"
2,35530,615,0,1,0,4,1,"13.0","normal"
3,62533,14142,1,0,2,9,0,"35.0","anomaly"
3,51418,2547,5,1,0,0,0,"13.0","normal"
1,65245,2176,5,0,0,2,4,"23.0","normal"
2,45116,9116,3,0,0,4,2,"3.0","normal"
2,4339,4009,4,0,1,0,3,"2.0","normal"
0,57764,8861,1,0,0,0,"-1","60.0","normal"
2,58716,3875,3,0,0,0,2,"13.0","normal"
0,30747,6353,6,0,0,4,2,"1.0","normal"
3,60180,1412,1,0,0,0,0,"16.0","normal"
3,27796,2985,2,0,0,8,4,"1.0","normal"
2,26610,8792,2,0,0,6,3,"7.0","normal"
2,63892,3735,6,1,0,0,2,"0.033483363558027515","anomaly"
2,40944,7190,6,0,0,8,"-1","5.0","normal"
0,7777,5263,3,1,1,1,0,"3.0","anomaly"
1,27918,6752,0,"-1",0,0,0,"46.0","normal"
3,31834,2895,6,0,0,0,2,"0.0","normal"
0,6081,3797,5,0,0,2,4,"1.0","normal"
1,23211,9413,6,"-1",0,10,1,"6.0","normal"
3,35362,6683,0,0,0,0,2,"1.0","normal"
3,46254,191,5,0,0,8,4,"6.0","normal"
0,46035,8921,1,1,0,2,2,"5.0","normal"
1,5555,4916,5,0,0,4,3,"9.0","anomaly"
1,21226,7262,0,0,0,0,2,"10.0","normal"
3,54856,6999,2,0,0,2,4,"2.0","normal"
1,5555,7951,6,0,0,1,2,"23.0","anomaly"
0,59332,508,2,0,0,7,4,"1.0","normal"
2,47474,1779,3,1,0,0,0,"8.0","normal"
1,65129,2072,0,0,0,2,0,"0.0011378056332832288","anomaly"
2,48486,926,2,2,3,2,4,"43.0","normal"
3,46597,26,5,1,0,1,2,"0.0","normal"
3,49891,2035,0,"-1",0,0,3,"6.0","normal"
0,18503,2121,5,0,0,6,2,"2.0","normal"
3,11339,2170,5,"-1",0,0,0,"38.0","normal"
0,36397,89144,6,0,0,8,0,"11.0","anomaly"
2,11040,5832,2,0,0,6,1,"10.0","normal"
1,59317,2600,4,0,0,8,"-1","11.0","normal"
1,32314,24760,6,0,0,0,0,"12.0","anomaly"
2,47198,5776,2,0,0,3,3,"10.0","normal"
3,43195,3655,6,2,0,2,0,"7.0","normal"
1,58095,8790,5,0,0,0,2,"9.0","normal"
0,54200,985,0,0,0,7,2,"35.0","normal"
1,64541,2284,6,0,0,10,0,"48.0","normal"
2,53859,9041,4,0,0,4,2,"18.0","normal"
0,6666,235,2,0,0,0,2,"23.0","anomaly"
2,12732,234,2,0,1,0,4,"6.0","normal"
1,19241,3965,0,0,1,2,4,"3.0","normal"
3,58459,9158,4,0,0,2,4,"11.0","normal"
2,59925,7865,1,0,0,0,4,"0.0","normal"
0,45936,8328,6,1,3,4,2,"0.01685698454215149","anomaly"
2,61395,1848,4,0,0,1,"-1","10.0","normal"
2,4444,8880,2,2,2,2,0,"5.0","anomaly"
3,54902,844,1,0,0,0,4,"20.0","normal"
1,63717,4399,4,1,0,0,0,"4.0","normal"
0,24129,2148,0,1,1,0,0,"10.0","normal"
3,44884,61692,2,0,1,0,"-1","14.0","anomaly"
0,21367,644,6,0,0,6,0,"5.0","normal"
3,1951,6381,5,1,0,2,0,"20.0","normal"
0,57482,8640,1,"-1",0,9,"-1","1.0","normal"
0,54386,7737,2,"-1",0,10,0,"3.0","normal"
3,41069,4753,4,0,0,7,3,"1.0","normal"
1,37653,4327,4,"-1",0,2,0,"6.0","normal"
2,64195,85954,1,2,0,2,1,"32.0","anomaly"
0,62253,3199,2,0,0,2,0,"19.0","normal"
3,7777,9351,1,0,0,1,0,"9.0","anomaly"
3,7777,8401,3,1,1,8,1,"5.0","anomaly"
3,8080,368,4,0,0,2,1,"10.0","anomaly"
1,52228,5599,0,0,0,2,4,"1.0","normal"
1,58237,2061,2,1,0,2,2,"14.0","normal"
2,7072,9689,6,0,3,3,0,"5.0","normal"
2,34799,2601,0,0,0,0,0,"0.0","normal"
1,5941,7162,5,0,0,0,3,"3.0","normal"
2,2088,5966,3,0,1,9,0,"6.0","normal"
1,19905,1867,3,1,0,2,0,"32.0","normal"
0,28831,6197,4,"-1",0,2,4,"4.0","normal"
0,35097,7294,6,0,0,2,3,"18.0","normal"
2,33830,5184,2,0,0,0,4,"1.0","normal"
3,3240,1946,6,"-1",0,6,0,"0.06545875568727172","anomaly"
0,64744,81262,0,0,0,0,3,"11.0","anomaly"
2,30288,2028,1,0,1,8,4,"13.0","normal"
2,59556,835,5,0,0,0,3,"10.0","normal"
3,20677,71850,1,2,0,8,2,"7.0","anomaly"
2,5555,9952,6,0,1,0,0,"6.0","anomaly"
3,28720,2841,5,0,0,2,"-1","1.0","normal"
1,13216,7328,3,0,0,0,"-1","17.0","normal"
2,11389,1751,1,"-1",0,7,1,"4.0","normal"
3,57670,2195,6,1,0,4,1,"9.0","normal"
3,4574,7186,1,"-1",1,7,4,"76.0","normal"
3,45082,4322,6,0,1,0,1,"15.0","normal"
0,62807,6328,6,0,0,0,0,"4.0","normal"
2,31473,3918,2,0,1,0,0,"5.0","normal"
